date,run,weekly,Total,bike,weekly,total,swim,weekly,total,total,description,,,,,,points,Points,,,,
11/24/2011,,13,698,,54,1940.5,,2800,118300,0,,,,,,,,,,,,
11/25/2011,,7,698,,35,1940.5,,2800,118300,0,,,,,,,,,,,,
11/26/2011,,7,698,,0,1940.5,,2800,118300,0,,,,,,,,,,,,
11/27/2011,,7,698,,0,1940.5,3000,5800,121300,1.875,,,,,,,,,,,,
11/28/2011,3,5,701,,0,1940.5,,5800,121300,3,,,,,,,,,,,,
11/29/2011,,5,701,,0,1940.5,2700,5700,124000,1.6875,,,,,,,,,,,,
11/30/2011,,3,701,,0,1940.5,,5700,124000,0,,,,,,,,,,,,
12/1/2011,,3,701,,0,1940.5,2300,8000,126300,1.4375,,,,,,,,,,,,
12/2/2011,5,8,706,,0,1940.5,,8000,126300,5,,,,,,,,,,,,
12/3/2011,,8,706,5,5,1945.5,,8000,126300,5,,,,,,,,,,,,
12/4/2011,5,13,711,,5,1945.5,,5000,126300,5,,,,,,,,,,,,
12/5/2011,,10,711,,5,1945.5,,5000,126300,0,,,,,,,,,,,,
12/6/2011,5,15,716,,5,1945.5,,2300,126300,5,,,,,,,,,,,,
12/7/2011,6,21,722,,5,1945.5,,2300,126300,6,,,,,,,,,,,,
12/8/2011,,21,722,,5,1945.5,2400,2400,128700,1.5,,,,,80.4375,,,,,,,
12/9/2011,,16,722,,5,1945.5,,2400,128700,0,,,,,,,,,,,,
12/10/2011,,16,722,,0,1945.5,,2400,128700,0,,,,,,,,,,,,
12/11/2011,,11,722,,0,1945.5,,2400,128700,0,,,,,,,,,,,,
12/12/2011,,11,722,,0,1945.5,,2400,128700,0,,,,,,,,,,,,
12/13/2011,,6,722,,0,1945.5,,2400,128700,0,,,,,,,,,,,,
12/14/2011,,0,722,,0,1945.5,,2400,128700,0,,,,,,,,,,,,
12/15/2011,,0,722,,0,1945.5,,0,128700,0,,,,,,,,,,,,
12/16/2011,,0,722,,0,1945.5,,0,128700,0,,,,,,,,,,,,
12/17/2011,,0,722,13,13,1958.5,,0,128700,13,,,,,,,,,,,,
12/18/2011,4,4,726,,13,1958.5,,0,128700,4,,,,,,,,,,,,
12/19/2011,,4,726,20,33,1978.5,,0,128700,20,,,,,,,,,,,,
12/20/2011,,4,726,,33,1978.5,,0,128700,0,,,,,,,,,,,,
12/21/2011,,4,726,,33,1978.5,,0,128700,0,,,,,,,,,,,,
12/22/2011,4,8,730,,33,1978.5,,0,128700,4,,,,,,,,,,,,
12/23/2011,,8,730,,33,1978.5,,0,128700,0,,,,,,,,,,,,
12/24/2011,,8,730,,20,1978.5,,0,128700,0,,,,,,,,,,,,
12/25/2011,2.5,6.5,732.5,,20,1978.5,,0,128700,2.5,,,,,,,,,,,,
12/26/2011,,6.5,732.5,,0,1978.5,,0,128700,0,,,,,,,,,,,,
12/27/2011,1.5,8,734,,0,1978.5,,0,128700,1.5,,,,,,,,,,,,
12/28/2011,,8,734,,0,1978.5,,0,128700,0,snow shoing,,,,,,,,,,,
12/29/2011,2.5,6.5,736.5,,0,1978.5,,0,128700,2.5,,,,,,,,,,,,
12/30/2011,,6.5,736.5,,0,1978.5,,0,128700,0,,,,,,,,,,,,
12/31/2011,,6.5,736.5,,0,1978.5,,0,128700,0,,,,,,,,,,,,
1/1/2012,,4,,,0,,,0,,0,,GOALS:,Run: 1500mi,,"swim: 200,000yd",,Bike: 3000mi,,,,,
1/2/2012,5,9,5,,0,0,,0,0,5,,,,,,,,,,,,
1/3/2012,4,11.5,9,,0,0,,0,0,4,,,,,,,,,,,,
1/4/2012,2,13.5,11,,0,0,,0,0,2,,,,,,,,,,,,
1/5/2012,,11,11,,0,0,,0,0,0,,,,,,,,,,,,
1/6/2012,,11,11,5,5,5,1000,1000,1000,5.625,really hot water. Bike on machine in Montant,,,,,,,,,,,
1/7/2012,,11,11,,5,5,,1000,1000,0,,,,,,,,,,,,
1/8/2012,,11,11,,5,5,,1000,1000,0,last rest day,,,,,,,,,,,
1/9/2012,5,11,16,,5,5,,1000,1000,5,run to and from dentist in the snow,,,,,,,,,,,
1/10/2012,,7,16,16,21,21,,1000,1000,16,an hour on the trainer,,,,,,,,,,,
1/11/2012,4.1,9.1,20.1,,21,21,,1000,1000,4.1,run with Jessica,,,,,,,,,,,
1/12/2012,,9.1,20.1,31,52,52,1500,2500,2500,31.9375,back in charlottesville,,,,,,,,,,,
1/13/2012,,9.1,20.1,,47,52,2500,4000,5000,1.5625,,,,,,,,,,,,
1/14/2012,4.5,13.6,24.6,,47,52,,4000,5000,4.5,,,,,,,,,,,,
1/15/2012,3,16.6,27.6,,47,52,,4000,5000,3,,,,,,,,,,,,
1/16/2012,,11.6,27.6,30,77,82,1500,5500,6500,30.9375,2 hours on trainer with ian,,,,,,,,,,,
1/17/2012,4.8,16.4,32.4,,61,82,3100,8600,9600,6.7375,8x200 decending,,run right after,,,,,,,,,
1/18/2012,6,18.3,38.4,,61,82,,8600,9600,6,with evan,,,,,,,,,,,
1/19/2012,,18.3,38.4,,30,82,2900,10000,12500,1.8125,"3x500, 9:07; 8:51; 8:37",,,,,,,,,,,
1/20/2012,5,23.3,43.4,,30,82,1500,9000,14000,5.9375,fell and hurt knee on run,,,,,,,,,,,
1/21/2012,,18.8,43.4,50,80,132,,9000,14000,50,3 hours on trainer with ian,,,,,,,,,,,
1/22/2012,10.6,26.4,54,,80,132,1500,10500,15500,11.5375,"long run with celine, then evan and becca",,,,,continuous swim,,,,,,
1/23/2012,,26.4,54,16,66,148,,9000,15500,16,on the trainer,,,,,,,,,,,
1/24/2012,,21.6,54,18,84,166,2800,8700,18300,19.75,"1,2,3,4,3,2,1 swim",,,,,,,,,,,
1/25/2012,5.3,20.9,59.3,,84,166,,8700,18300,5.3,"ridiculously good run with TEAM, 37:30 for 4.5 miles",,,,,,,,,,,
1/26/2012,4.2,25.1,63.5,,84,166,3000,8800,21300,6.075,"3x800; 14:09, 13:53; 13:41",,,,,,,,,,,
1/27/2012,,20.1,63.5,19,103,185,,7300,21300,19,6 people out for the ride,,,dudley mountain loop,,,,,,,,
1/28/2012,10.5,30.6,74,,53,185,,7300,21300,10.5,,,,,,,,,,,,
1/29/2012,,20,74,,53,185,2000,7800,23300,1.25,,,,,,,,,,,,
1/30/2012,,20,74,,37,185,,7800,23300,0,NOTHING :(,,,,,,,,,,,
1/31/2012,5,25,79,,19,185,2200,7200,25500,6.375,,,,,,,,,,,,
2/1/2012,6.5,26.2,85.5,,19,185,,7200,25500,6.5,,,,,,,,,,,,
2/2/2012,,22,85.5,,19,185,2800,7000,28300,1.75,6x100x2 + 100 @ 1:31,,,,,,,,,,,
2/3/2012,,22,85.5,19,19,204,,7000,28300,19,dudley mountain loop,,,,,,,,,,,
2/4/2012,,11.5,85.5,2,21,206,,7000,28300,2,,,,,,,,,,,,
2/5/2012,6.8,18.3,92.3,,21,206,,5000,28300,6.8,3.5 mile tempo at 7:15 pace,,,,,,,,,,,
2/6/2012,6,24.3,98.3,,21,206,,5000,28300,6,,,,,,,,,,,,
2/7/2012,,19.3,98.3,,21,206,3000,5800,31300,1.875,,,,,,,,,,,,
2/8/2012,,12.8,98.3,19,40,225,,5800,31300,19,,,,,,,,,,,,
2/9/2012,,12.8,98.3,10,50,235,2000,5000,33300,11.25,on my new bike wooooooo!,,,,,,,,,,,
2/10/2012,,12.8,98.3,5,36,240,,5000,33300,5,,,,,,,,,,,,
2/11/2012,11,23.8,109.3,,34,240,,5000,33300,11,4.5mi tempo in belair,,,,,,,,,,,
2/12/2012,2,19,111.3,,34,240,,5000,33300,2,,,,,,,,,,,,
2/13/2012,,13,111.3,5,39,245,,5000,33300,5,short on trainer,,,,,,,,,,,
2/14/2012,,13,111.3,,39,245,3000,5000,36300,1.875,"6x50, 2x800, @ 13:45 and 14:15",,,,,,,,,,,
2/15/2012,8.6,21.6,119.9,19,39,264,,5000,36300,27.6,2xmile at 6:40 and 6:33; 6x90,,,,dudley mountain,,,,,,,
2/16/2012,,21.6,119.9,,29,264,2000,5000,38300,1.25,easy swim,,,,,,,,,,,
2/17/2012,5.4,27,125.3,30,54,294,,5000,38300,35.4,"group trainer ride 5x1min high cadence, 5x5min all out",,,,,,2 mi off the bike,,,,,
2/18/2012,,16,125.3,32,86,326,,5000,38300,32,earlysville loop,,"with Celine and Lauren, 2x15min @80%",,,,,,,,,
2/19/2012,10,24,135.3,,86,326,,5000,38300,10,long run with Celine and Becca,,,,,,,,,,,
2/20/2012,,24,135.3,15,96,341,1500,6500,39800,15.9375,,,,,,,,,,,,
2/21/2012,,24,135.3,,96,341,3000,6500,42800,1.875,,,,,,,,,,,,
2/22/2012,6.7,22.1,142,,77,341,,6500,42800,6.7,,,,,,,,,,,,
2/23/2012,3,25.1,145,,77,341,2800,7300,45600,4.75,,,,,,,,,,,,
2/24/2012,,19.7,145,25,72,366,,7300,45600,25,2x20min tempo on the trainer,,,,,,,,,,,
2/25/2012,11,30.7,156,,40,366,,7300,45600,11,6mi progressive. Worst workout in a LONG time,,,,,,,,,,,
2/26/2012,,20.7,156,,40,366,,7300,45600,0,MONO,,,,,,,,,,,
2/27/2012,,20.7,156,,25,366,,5800,45600,0,I,,,,,,,,,,,
2/28/2012,,20.7,156,,25,366,3000,5800,48600,1.875,I,,,,,,,,,,,
2/29/2012,,14,156,,25,366,,5800,48600,0,I,,,,,,,,,,,
3/1/2012,,11,156,9,34,375,3000,6000,51600,10.875,I,,,,,,,,,,,
3/2/2012,,11,156,,9,375,,6000,51600,0,I,,,,,,,,,,,
3/3/2012,,0,156,,9,375,,6000,51600,0,I,,,,,,,,,,,
3/4/2012,,0,156,,9,375,,6000,51600,0,I,,,,,,,,,,,
3/5/2012,,0,156,,9,375,,6000,51600,0,I,,,,,,,,,,,
3/6/2012,,0,156,,9,375,,3000,51600,0,I,,,,,,,,,,,
3/7/2012,,0,156,,9,375,,3000,51600,0,I,,,,,,,,,,,
3/8/2012,,0,156,,0,375,,0,51600,0,I,,,,,,,,,,,
3/9/2012,,0,156,,0,375,,0,51600,0,I,,,,,,,,,,,
3/10/2012,,0,156,,0,375,,0,51600,0,V,,,,,,,,,,,
3/11/2012,,0,156,,0,375,,0,51600,0,,,,,,,,,,,,
3/12/2012,,0,156,,0,375,,0,51600,0,,,,,,,,,,,,
3/13/2012,2,2,158,,0,375,,0,51600,2,,,,,,,,,,,,
3/14/2012,,2,158,,0,375,,0,51600,0,,,,,,,,,,,,
3/15/2012,2,4,160,,0,375,,0,51600,2,,,,,,,,,,,,
3/16/2012,,4,160,,0,375,,0,51600,0,,,,,,,,,,,,
3/17/2012,5,9,165,,0,375,,0,51600,5,,,,,,,,,,,,
3/18/2012,,9,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/19/2012,,9,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/20/2012,,7,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/21/2012,,7,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/22/2012,,5,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/23/2012,,5,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/24/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/25/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/26/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/27/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/28/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/29/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/30/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
3/31/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/1/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/2/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/3/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/4/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/5/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/6/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/7/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/8/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/9/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/10/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/11/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/12/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/13/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/14/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/15/2012,,0,165,,0,375,,0,51600,0,pilates,,,,,,,,,,,
4/16/2012,,0,165,,0,375,,0,51600,0,,,,,,,,,,,,
4/17/2012,,0,165,,0,375,1000,1000,52600,0.625,I'm baaaccccckkk!,,,,,,,,,,,
4/18/2012,,0,165,,0,375,,1000,52600,0,pilates,,4 months until age group nationals,,,,,,,,,
4/19/2012,3,3,168,,0,375,,1000,52600,3,"2 runs, 2 and 1",,,,,,,,,,,
4/20/2012,3,6,171,,0,375,1000,2000,53600,3.625,open water swim,,,"first 1.75 @ 9 by self, second 1.25 @ 9:30 w/girls",,,,,,,,
4/21/2012,3,9,174,,0,375,,2000,53600,3,"running around for the race, not sure exactly how far, but I got some sprints in",,,,,,,,watched collegiate nationals,,,
4/22/2012,,9,174,,0,375,,2000,53600,0,,,,,,,,,,,,
4/23/2012,5.3,14.3,179.3,,0,375,,2000,53600,5.3,51:03 errr…. SO SLOW!,,,,,,,,,,,
4/24/2012,,14.3,179.3,,0,375,1500,2500,55100,0.9375,"500wu 5x100 @ 2min, 500 cd",,,,,,,,,,,
4/25/2012,,14.3,179.3,15,15,390,1500,4000,56600,15.9375,"1000 with increased intensity, 500 cd",,,,15 mi through cville. Woo! I survived the hills,,,,,,,
4/26/2012,5.3,16.6,184.6,,15,390,,4000,56600,5.3,"xc men ran past early, embarassed at my speed",,,,,"last mile fast(er than slow and out of shape), no way in hell was I going to let girl-x going to catch me.",,,,,,
4/27/2012,,13.6,184.6,11,26,401,,3000,56600,11,out to dudley mountain and back,,,,make sure you don't overdo it. Going 20 with becca tomorrow,,,,,,,
4/28/2012,,10.6,184.6,20,46,421,,3000,56600,20,dudley mountain loop,,,"with becca, ~15mph, felt good",,,"""You are on the mend"" ""I'm not on the mend, I'm mended! I'm on the build!""",,,,,
4/29/2012,6.6,17.2,191.2,,46,421,,3000,56600,6.6,fox haven to miller center loop,,,,under an hour,,woot!,,,,,
4/30/2012,,11.9,191.2,,46,421,,3000,56600,0,,,,,,,,,,,,
5/1/2012,4.2,16.1,195.4,,46,421,1800,3300,58400,5.325,"run with Daddy, first run with someone in AGES",,,,,5x100; 5x50; 5x25 swim,,,,,,
5/2/2012,,16.1,195.4,,31,421,,1800,58400,0,,,,,,,,,,,,
5/3/2012,,10.8,195.4,,31,421,,1800,58400,0,,,,,,,,,,,,
5/4/2012,5.3,16.1,200.7,,20,421,,1800,58400,5.3,,,,,,,,,,,,
5/5/2012,,16.1,200.7,,0,421,1500,3300,59900,0.9375,"3x100, 3x50, 3x25",,,,,,,,,,,
5/6/2012,5,14.5,205.7,,0,421,,3300,59900,5,"running around for the race, not sure exactly how far, but I got some sprints in",,,,,,,,,,,
5/7/2012,,14.5,205.7,20,20,441,,3300,59900,20,dudley mountain loop,,,,,,,,,,,
5/8/2012,,10.3,205.7,,20,441,2000,3500,61900,1.25,"3x200, 3x100, 4x50",,,did 3:19 on a 200,,,,,,,,
5/9/2012,7,17.3,212.7,,20,441,,3500,61900,7,run with celine heckel jones,,,,resevoir rd.,,,,,,,
5/10/2012,,17.3,212.7,,20,441,,3500,61900,0,nada,,,,,,,,,,,
5/11/2012,5,17,217.7,,20,441,,3500,61900,5,at about an 8:15 pace average. Last mile fast,,,,,With Ian,,,,,,
5/12/2012,,17,217.7,20,40,461,,2000,61900,20,through new orleans with Ian,,,,"a little choppy, but last 10 miles were solid",,,,,,,
5/13/2012,5,17,222.7,,40,461,,2000,61900,5,through new orleans,,,"very hot, can feel legs",,,,,,,,
5/14/2012,,17,222.7,,20,461,,2000,61900,0,,,,,,,,,,,,
5/15/2012,,17,222.7,50,70,511,,0,61900,50,,,,,,,,,,,,
5/16/2012,6.5,16.5,229.2,,70,511,,0,61900,6.5,,,,,,,,,,,,
5/17/2012,4,20.5,233.2,,70,511,,0,61900,4,,,,,,,,,,,,
5/18/2012,4.5,20,237.7,,70,511,,0,61900,4.5,,,,,,,,,,,,
5/19/2012,,20,237.7,,50,511,,0,61900,0,nada,,,,,,,,,,,
5/20/2012,5,20,242.7,,50,511,,0,61900,5,last run on the RTF,,,Graduation,,NEW SHOES,,,,,,
5/21/2012,,20,242.7,,50,511,,0,61900,0,lazy days at the beach,,,,,,,,,,,
5/22/2012,1,21,243.7,10,10,521,,0,61900,11,bike with Kat and Bob - broke the wind,,,,,"ocean too big for swimming, 1mi run on beach",,,,,,
5/23/2012,3,17.5,246.7,,10,521,,0,61900,3,on treadmill,,10min up 4x2min at 7min,,,,,,,,,
5/24/2012,,13.5,246.7,12,22,533,,0,61900,12,on the trainer,,,,,,,,,,,
5/25/2012,8,17,254.7,,22,533,,0,61900,8,"4 in the heat of the day (what doesn't kill you makes you stronger) 4 with daddy, better and faster",,,,,,,,,,,
5/26/2012,,17,254.7,34,56,567,,0,61900,34,with Ian,,,,,,,,,,,
5/27/2012,5,17,259.7,,56,567,,0,61900,5,2 with Marathon 1 by self,,,NEED TO GO SWIMMING,,,,,,,,
5/28/2012,,17,259.7,20,76,587,,0,61900,20,with the father,,,,,,,,,,,
5/29/2012,3,19,262.7,,66,587,,0,61900,3,,,,,,,,,,,,
5/30/2012,6,22,268.7,4,70,591,1000,1000,62900,10.625,"minutes 12,3,4,5,4,3,2,1",,,,,,,,,,,
5/31/2012,,22,268.7,,58,591,,1000,62900,0,much needed day off,,,,,,,,,,,
6/1/2012,,14,268.7,,58,591,,1000,62900,0,A less needed day off…,,,,,,,,,,,
6/2/2012,,14,268.7,,24,591,2500,3500,65400,1.5625,,,,,,,,,,,,
6/3/2012,,9,268.7,38,62,629,,3500,65400,38,,,,,,,,,,,,
6/4/2012,4.3,13.3,273,,42,629,2000,5500,67400,5.55,,,,,,,,,,,,
6/5/2012,,10.3,273,18.5,60.5,647.5,,5500,67400,18.5,,,,,,,,,,,,
6/6/2012,4.5,8.8,277.5,4,60.5,651.5,,4500,67400,8.5,30 60 90 90 60 30 x 2,,,,,,,,,,,
6/7/2012,,8.8,277.5,4,64.5,655.5,2500,7000,69900,5.5625,,,,,,,,,,,,
6/8/2012,2,10.8,279.5,30,94.5,685.5,,7000,69900,32,14:20 on the 2 mile,,,,,,,,,,,
6/9/2012,10,20.8,289.5,,94.5,685.5,300,4800,70200,10.1875,,,,,,,,,,,,
6/10/2012,,20.8,289.5,20,76.5,705.5,,4800,70200,20,on skyline drive,,,,,,,,,,,
6/11/2012,4,20.5,293.5,,76.5,705.5,,2800,70200,4,,,,,,,,,,,,
6/12/2012,,20.5,293.5,,58,705.5,,2800,70200,0,,,,,,,,,,,,
6/13/2012,,16,293.5,,54,705.5,2200,5000,72400,1.375,,,,,,,,,,,,
6/14/2012,5.6,21.6,299.1,,50,705.5,,2500,72400,5.6,"battlefield with daddy, average 8:31",,,,,,,,,,,
6/15/2012,,19.6,299.1,24,44,729.5,1500,4000,73900,24.9375,,,,,,,,,,,,
6/16/2012,10.4,20,309.5,,44,729.5,2000,5700,75900,11.65,"long run with Daddy, average 8:44",,,,,,,,,,,
6/17/2012,,20,309.5,34,58,763.5,,5700,75900,34,"bike with Daddy, average 16.3mph",,,,,,,,,,,
6/18/2012,4.1,20.1,313.6,,58,763.5,,5700,75900,4.1,8:31;8:28; 8:21 7:57,,,,,,,,,,,
6/19/2012,,20.1,313.6,17,75,780.5,2400,8100,78300,18.5,swim 3x500,,"didn't want to go on a bike ride, but did it anyway. I persevered!",,,,,,,,,
6/20/2012,8,28.1,321.6,,75,780.5,,5900,78300,8,VERY HOT,,"minutes workout, (1f, 1r, 1f, :40r, 1f, :20r, 1f )X4",,,,,,,,,
6/21/2012,,22.5,321.6,,75,780.5,1500,7400,79800,0.9375,,,,,,,,,,,,
6/22/2012,,22.5,321.6,28,79,808.5,1000,6900,80800,28.625,bike at 16.2; got windy at the end,,,,no power,,,,,,,
6/23/2012,10.4,22.5,332,,79,808.5,1500,6400,82300,11.3375,about 8:19 average,,,some of it was sub 8,,,,,,,,
6/24/2012,,22.5,332,50,95,858.5,,6400,82300,50,"1st 25 drafting at 16.9, 2nd 25 by self at 16.6",,,,,,,,,,,
6/25/2012,,18.4,332,17,112,875.5,2400,8800,84700,18.5,5x200 and drills,,,,,,,,,,,
6/26/2012,4,22.4,336,,95,875.5,,6400,84700,4,with Jessica,,,,,,,,,,,
6/27/2012,8.7,23.1,344.7,25.5,120.5,901,,6400,84700,34.2,"BRICK! Bike 3x5h+3e; Run: 9x1min up tempo all between 6:05 and 6:30 except last at 5:30, 10 min ins and outs",,,,,,,,,,,av bike=17.1
6/28/2012,,23.1,344.7,16.5,137,917.5,,4900,84700,16.5,,,,,,,,,,,,
6/29/2012,,23.1,344.7,,109,917.5,3000,6900,87700,1.875,steady swim,,,,,,,,,,,
6/30/2012,10.4,23.1,355.1,,109,917.5,,5400,87700,10.4,8:28 pace average,,,,,,,,,,,
7/1/2012,,23.1,355.1,,59,917.5,,5400,87700,0,Core workout,,,,,,,,,,,
7/2/2012,,23.1,355.1,,42,917.5,1500,4500,89200,0.9375,1000 at strong pace,,,,,,,,,,,
7/3/2012,6,25.1,361.1,,42,917.5,,4500,89200,6,at Bull Run Marina,,,,,,,,,,,
7/4/2012,4,20.4,365.1,30,46.5,947.5,,4500,89200,34,"1hr bike wu, (20min tempo +2mi run) x 2",,,,,,,,,,,
7/5/2012,,20.4,365.1,,30,947.5,1900,6400,91100,1.1875,in 37 minutes,,,,,,,,,,,
7/6/2012,,20.4,365.1,14,44,961.5,2000,5400,93100,15.25,short short bike,,,,,,,,,,,
7/7/2012,10.4,20.4,375.5,,44,961.5,,5400,93100,10.4,long run  8:36 pace Really Hot,,,,,,,,,,,
7/8/2012,,20.4,375.5,28,72,989.5,,5400,93100,28,,,,,,,,,,,,
7/9/2012,,20.4,375.5,,72,989.5,1000,4900,94100,0.625,forgot my cap,,,,,,,,,,,
7/10/2012,,14.4,375.5,17,89,1006.5,,4900,94100,17,,,,,,,,,,,,
7/11/2012,5.1,15.5,380.6,,59,1006.5,,4900,94100,5.1,"with daddy, 8:19 pace",,,,,,,,,,,
7/12/2012,,15.5,380.6,9,68,1015.5,,3000,94100,9,on the trainer,,,,,,,,,,,
7/13/2012,2,17.5,382.6,0.5,54.5,1016,,1000,94100,2.5,tomorrow is race day!,,,"tapering, next week is going to be HARD",,,,,,,,
7/14/2012,5.5,12.6,388.1,14,68.5,1030,750,1750,94850,19.96875,"Pohanak Colonial Beach Sprint Tri: 1:23:10, 8th overall, 1st AG",,,,,,,,,,,
7/15/2012,,12.6,388.1,40,80.5,1070,,1750,94850,40,"15.8mph, by myself",,,,,,,,,,,
7/16/2012,,12.6,388.1,,80.5,1070,2000,2750,96850,1.25,,,,,,,,,,,,
7/17/2012,5.1,17.7,393.2,,63.5,1070,,2750,96850,5.1,"with daddy, 8:21 pace",,,,,,,,,,,
7/18/2012,,12.6,393.2,40,103.5,1110,,2750,96850,40,2.5 hours on the trainer,,,,,,,,,,,
7/19/2012,6.2,18.8,399.4,,94.5,1110,3000,5750,99850,8.075,,,,,,,,,,,,
7/20/2012,,16.8,399.4,19,113,1129,,5750,99850,19,,,,,,,,,,,,
7/21/2012,,11.3,399.4,40,139,1169,,5000,99850,40,with Ian,,16.9mph,,,,,,,,,
7/22/2012,11,22.3,410.4,,99,1169,,5000,99850,11,8:01 pace with Daddy through Amish Country,,,,,,,,,,,
7/23/2012,,22.3,410.4,,99,1169,1600,4600,101450,1,,,,,,,,,,,,
7/24/2012,,17.2,410.4,17,116,1186,,4600,101450,17,,,,,,,,,,,,
7/25/2012,10,27.2,420.4,,76,1186,,4600,101450,10,"1mi TT @ 6:19, followed by 4x90s+4x60s+4x30s+4x15s track workout",,,,,,,,,,,
7/26/2012,,21,420.4,,76,1186,2200,3800,103650,1.375,"1,2,3,400 and a 600 pick up in the warm up",,,,,,,,,,,
7/27/2012,,21,420.4,22.8,79.8,1208.8,,3800,103650,22.8,,,,,,,,,,,,
7/28/2012,10.4,31.4,430.8,,39.8,1208.8,,3800,103650,10.4,"1:24:49, felt really good",,,,,,,,,,,
7/29/2012,,20.4,430.8,,39.8,1208.8,,3800,103650,0,"needed a day off, broke the stream",,,,,,,,,,,
7/30/2012,,20.4,430.8,27,66.8,1235.8,,2200,103650,27,,,,,,,,,,,,
7/31/2012,,20.4,430.8,,49.8,1235.8,,2200,103650,0,came home and fell asleep,,,,,,,,,,,
8/1/2012,5.5,15.9,436.3,,49.8,1235.8,,2200,103650,5.5,thunder,,,,,,,,,,,
8/2/2012,,15.9,436.3,12,61.8,1247.8,2500,2500,106150,13.5625,,,,,,,,,,,,
8/3/2012,4,19.9,440.3,,39,1247.8,2000,4500,108150,5.25,,,,,,,,,,,,
8/4/2012,10.4,19.9,450.7,,39,1247.8,,4500,108150,10.4,1:28 26 ,,,,,,,,,,,
8/5/2012,,19.9,450.7,32,71,1279.8,,4500,108150,32,not a great ride,,,,,,,,,,,
8/6/2012,,19.9,450.7,,44,1279.8,1800,6300,109950,1.125,,,,,,,,,,,,
8/7/2012,5.5,25.4,456.2,,44,1279.8,,6300,109950,5.5,"1.25 with Jacquie, 4mi progression 8:45min --> 7:30",,,,,,,,,,,
8/8/2012,,19.9,456.2,17,61,1296.8,,6300,109950,17,,,,,,,,,,,,
8/9/2012,4.5,24.4,460.7,,49,1296.8,,3800,109950,4.5,,,,,,,,,,,,
8/10/2012,,20.4,460.7,,49,1296.8,1500,3300,111450,0.9375,,,,,,,,,,,,
8/11/2012,,10,460.7,,49,1296.8,,3300,111450,0,,,,,,,,,,,,
8/12/2012,,10,460.7,22,39,1318.8,,3300,111450,22,,,,,,,,,,,,
8/13/2012,4.5,14.5,465.2,,39,1318.8,,1500,111450,4.5,,,,,,,,,,,,
8/14/2012,,9,465.2,,39,1318.8,1000,2500,112450,0.625,,,,,,,,,,,,
8/15/2012,,9,465.2,10,32,1328.8,,2500,112450,10,,,,,,,,,,,,
8/16/2012,2,6.5,467.2,,32,1328.8,,2500,112450,2,,,,,,,,,,,,
8/17/2012,1,7.5,468.2,2,34,1330.8,200,1200,112650,3.125,,,,,,,,,,,,
8/18/2012,7.5,15,475.7,24.8,58.8,1355.6,1600,2800,114250,33.3,"Age Group Nationals. 3:45:10. Swim: bad, bike: 1:22 bad, run: 44:45 good!",,,,,,,,,,,
8/19/2012,,15,475.7,,36.8,1355.6,,2800,114250,0,off,,,,,,,,,,,
8/20/2012,1,11.5,476.7,,36.8,1355.6,,2800,114250,1,,,,,,,,,,,,
8/21/2012,,11.5,476.7,13.5,50.3,1369.1,,1800,114250,13.5,,,,,,,,,,,,
8/22/2012,,11.5,476.7,,40.3,1369.1,800,2600,115050,0.5,,,,,,,,,,,,
8/23/2012,,9.5,476.7,,40.3,1369.1,,2600,115050,0,sick,,,,,,,,,,,
8/24/2012,,8.5,476.7,,38.3,1369.1,,2400,115050,0,sick,,,,,,,,,,,
8/25/2012,3.5,4.5,480.2,,13.5,1369.1,,800,115050,3.5,,,,,,,,,,,,
